Rank,Traveled_distance,Error_rotating_goal,Mission_time,Recovery_executed,RNS,Husky
Rank 1,9.22,0,120.89,6,0.6,Simulator
Rank 1,7.12,160,188.62,10,0.4,Simulator
Rank 1,9.52,0,121.74,6,0.6,Simulator
Rank 1,14.26,0,228.74,4,0.6,Simulator
Rank 1,16.69,3,124.73,0,1,Simulator
Rank 1,14.17,80,87.24,2,1,Simulator
Rank 1,11.49,0,83.58,2,0.8,Simulator
Rank 1,9.12,0,118.48,4,0.6,Simulator
Rank 1,14.08,0,51.87,0,1,Simulator
Rank 1,8.99,80,233.47,10,0.2,Simulator
Rank 1,11.12,0,172.82,4,0.6,Simulator
Rank 1,12.59,0,77.29,2,0.8,Simulator
Rank 1,11.8,83,128.23,4,0.8,Simulator
Rank 1,15.52,0,241.29,8,0.4,Simulator
Rank 1,12.45,0,75.67,2,0.8,Simulator
Rank 1,9.69,160,157.93,8,0.6,Simulator
Rank 1,14.91,80,207.33,4,0.8,Simulator
Rank 1,16.41,80,144.23,2,0.8,Simulator
Rank 1,15.77,0,171.26,2,0.8,Simulator
Rank 1,14.54,0,180.25,0,1,Simulator
Rank 1,12.03,0,117.29,2,0.2,Simulator
Rank 1,17.1,0,401.44,12,0,Simulator
Rank 1,9.34,0,112.28,6,0.6,Simulator
Rank 1,6.39,0,219.76,11,0,Simulator
Rank 1,14.85,76,191.81,5,0.6,Simulator
Rank 1,14.08,0,75.75,0,0.8,Simulator
Rank 1,6.78,80,162.24,8,0.4,Simulator
Rank 1,14.59,0,272.58,9,0.4,Simulator
Rank 1,11.84,0,78.24,2,0.8,Simulator
Rank 1,6.71,2,190.48,9,0.4,Simulator
Rank 1,6.49,0,136.54,8,0.4,Simulator
Rank 1,11.6,2,98.77,4,0.8,Simulator
Rank 1,7.61,0,159.74,6,0.4,Simulator
Rank 1,12.54,0,102.42,2,0.8,Simulator
Rank 1,11.84,0,73.78,2,0.8,Simulator
Rank 1,11.92,0,85.87,2,0.8,Simulator
Rank 1,4.41,0,106.5,8,0.2,Simulator
Rank 1,14.22,80,100.91,2,1,Simulator
Rank 1,11.62,82,131.42,4,0.8,Simulator
Rank 1,18.89,0,655.23,0,1,Simulator
Rank 1,11.41,0,110.56,4,0.8,Simulator
Rank 1,11.85,0,75.89,2,0.8,Simulator
Rank 1,9.39,0,116.5,4,0.6,Simulator
Rank 1,14.35,2,152.92,4,0.6,Simulator
Rank 1,12.21,80,139.68,4,0.8,Simulator
Rank 1,14.41,0,83.48,0,1,Simulator
Rank 1,14.31,0,91.2,0,1,Simulator
Rank 1,12.8,80,123.8,4,0.8,Simulator
Rank 1,13.51,80,141.64,4,0.8,Simulator
Rank 1,11.52,78,163.8,8,0.4,Simulator
Rank 3,13.28,0,110.1,4,0.6,Simulator
Rank 3,12.77,0,147.42,6,0.6,Simulator
Rank 3,6.68,0,132.15,8,0.6,Simulator
Rank 3,14.46,80,54.4,0,0.8,Simulator
Rank 3,11.77,0,69.51,2,0.6,Simulator
Rank 3,14.5,0,59.87,0,0.8,Simulator
Rank 3,13.16,0,117.6,4,0.4,Simulator
Rank 3,11.89,80,75.34,2,0.2,Simulator
Rank 3,12.07,0,68.6,2,0.4,Simulator
Rank 3,7.63,0,164.27,8,0.6,Simulator
Rank 3,10.37,0,82.09,4,1,Simulator
Rank 3,14.5,0,62.24,0,0.2,Simulator
Rank 3,9.86,84,113.41,6,0.8,Simulator
Rank 3,14.46,3,190.47,4,0.8,Simulator
Rank 3,11.62,80,111.08,4,1,Simulator
Rank 3,14.43,80,75.22,0,0.4,Simulator
Rank 3,14.5,0,64.37,0,1,Simulator
Rank 3,12.41,80,75.48,2,0.4,Simulator
Rank 3,14.48,0,66.36,0,0.6,Simulator
Rank 3,13.32,0,88.52,2,1,Simulator
Rank 3,14.54,0,166.31,0,0.8,Simulator
Rank 3,9.47,0,125.57,4,1,Simulator
Rank 3,12.8,0,143.92,6,0.8,Simulator
Rank 3,6.73,0,146.04,8,0.4,Simulator
Rank 3,14.56,0,185.86,6,1,Simulator
Rank 3,7.18,80,112.92,6,1,Simulator
Rank 3,14.43,160,67.09,0,0.6,Simulator
Rank 3,14.39,0,104.06,2,0.6,Simulator
Rank 3,12.55,0,97.88,2,1,Simulator
Rank 3,6.73,0,144.77,8,1,Simulator
Rank 3,9.84,0,130.36,6,0.6,Simulator
Rank 3,14.49,160,67.49,0,0.6,Simulator
Rank 3,14.52,0,63.74,0,1,Simulator
Rank 3,9.72,0,85.21,4,1,Simulator
Rank 3,14.7,0,92.76,0,0.8,Simulator
Rank 3,14.5,0,158.18,4,0.4,Simulator
Rank 3,9.76,0,85.3,4,0.8,Simulator
Rank 3,9.19,0,186.9,8,1,Simulator
Rank 3,7.85,4,126.67,8,0.4,Simulator
Rank 3,4.91,1,117.16,8,1,Simulator
Rank 3,6.75,0,117.01,8,1,Simulator
Rank 3,12.09,0,71.16,2,1,Simulator
Rank 3,7.41,0,148.07,8,0.8,Simulator
Rank 3,8.16,0,101.92,6,1,Simulator
Rank 3,14.84,0,92.24,2,0.4,Simulator
Rank 3,10.88,0,95.96,4,1,Simulator
Rank 3,12.17,0,92.19,4,0.4,Simulator
Rank 3,14.49,0,59.9,0,1,Simulator
Rank 3,14.48,0,63.47,0,1,Simulator
Rank 3,20.35,0,239.12,8,0.6,Simulator
Rank 4,12.84,0,73.62,2,0.6,Simulator
Rank 4,9.89,0,103.01,6,0.8,Simulator
Rank 4,14.6,0,89.95,0,0.6,Simulator
Rank 4,13.06,0,91.73,2,0.4,Simulator
Rank 4,11.67,0,112.8,6,0.8,Simulator
Rank 4,10.2,79,89.52,4,0.6,Simulator
Rank 4,10.28,0,99.87,4,0.8,Simulator
Rank 4,7.69,0,94.2,6,0.8,Simulator
Rank 4,12.54,0,80.3,2,1,Simulator
Rank 4,13.41,0,187.33,8,1,Simulator
Rank 4,11.6,0,91.58,4,0.8,Simulator
Rank 4,14.42,0,54.45,0,1,Simulator
Rank 4,12.96,0,105.3,4,1,Simulator
Rank 4,12.28,0,107.71,2,0.6,Simulator
Rank 4,11.78,0,75.87,2,0.6,Simulator
Rank 4,12.14,0,76.73,2,0.6,Simulator
Rank 4,14.61,0,93.13,2,0.6,Simulator
Rank 4,14.44,0,72.79,0,1,Simulator
Rank 4,14.47,0,64.35,0,0.6,Simulator
Rank 4,14.42,0,52.83,0,0.8,Simulator
Rank 4,9.77,0,105.78,6,1,Simulator
Rank 4,12.24,0,80.98,2,0.8,Simulator
Rank 4,11.88,0,71.45,2,0.6,Simulator
Rank 4,13.11,84,74.68,2,1,Simulator
Rank 4,15,0,124.97,4,0.6,Simulator
Rank 4,6.72,1,129.49,8,1,Simulator
Rank 4,14.54,0,57.98,0,1,Simulator
Rank 4,13.39,0,120,4,1,Simulator
Rank 4,4.83,0,121.74,8,0.8,Simulator
Rank 4,8.21,0,149.54,8,1,Simulator
Rank 4,14.7,0,103.73,0,0.6,Simulator
Rank 4,8.08,0,148.15,8,0.8,Simulator
Rank 4,6.99,0,128.22,8,0.4,Simulator
Rank 4,12.44,0,70.61,2,0.8,Simulator
Rank 4,14.45,0,94.85,0,1,Simulator
Rank 4,10.51,0,129,6,0.4,Simulator
Rank 4,12.81,0,73.44,2,0.6,Simulator
Rank 4,14.58,0,85.36,0,0.8,Simulator
Rank 4,7.12,0,103.87,6,1,Simulator
Rank 4,14.5,0,67.03,0,0.8,Simulator
Rank 4,10.78,0,135.03,6,1,Simulator
Rank 4,13.07,0,121.75,4,1,Simulator
Rank 4,6.77,0,154.4,8,1,Simulator
Rank 4,7.26,0,104.38,6,0.6,Simulator
Rank 4,7.25,0,110.43,6,0.8,Simulator
Rank 4,12.31,0,71.74,2,1,Simulator
Rank 4,12.27,0,92.27,2,0.4,Simulator
Rank 4,12.07,0,87.03,2,0.4,Simulator
Rank 4,4.46,0,105.04,8,0.8,Simulator
Rank 4,7.29,0,108.7,6,1,Simulator
Rank 1,9.22,0,120.89,6,0.6,Physical
Rank 1,7.12,160,188.62,10,0.4,Physical
Rank 1,13.51,80,141.64,4,0.8,Physical
Rank 1,11.52,78,163.8,8,0.4,Physical
Rank 1,6.39,0,219.76,11,0,Physical
Rank 1,14.85,76,191.81,5,0.6,Physical
Rank 1,15.52,0,241.29,8,0.4,Physical
Rank 1,17.1,0,401.44,12,0,Physical
Rank 1,11.92,0,85.87,2,0.8,Physical
Rank 1,4.41,0,106.5,8,0.2,Physical
Rank 3,12.77,0,147.42,6,0.6,Physical
Rank 3,6.68,0,132.15,8,0.4,Physical
Rank 3,14.48,0,63.47,0,1,Physical
Rank 3,20.35,0,239.12,8,0.4,Physical
Rank 3,14.46,3,190.47,4,0.4,Physical
Rank 3,11.62,80,111.08,4,0.6,Physical
Rank 3,14.5,0,158.18,4,1,Physical
Rank 3,9.76,0,85.3,4,0.6,Physical
Rank 3,12.41,80,75.48,2,0.8,Physical
Rank 3,14.48,0,66.36,0,0.8,Physical
Rank 4,12.84,0,73.62,2,0.6,Physical
Rank 4,13.06,0,91.73,2,0.6,Physical
Rank 4,12.31,0,71.74,2,1,Physical
Rank 4,12.27,70,92.27,2,0.6,Physical
Rank 4,12.07,0,87.03,2,0.8,Physical
Rank 4,14.61,0,93.13,2,1,Physical
Rank 4,14.44,0,72.79,0,0.4,Physical
Rank 4,14.47,0,64.35,0,0.8,Physical
Rank 4,14.42,0,52.83,0,0.4,Physical
Rank 4,10.28,0,99.87,4,0.6,Physical
